City,Latitude,Longitude,Temperature,Humidity,cloudness,windspeed
Ambunti,-4.22,142.82,23.74,98,100,1.95
Capanema,-25.67,-53.8,30,45,20,1.09
Portland,43.66,-70.25,1.31,86,90,3.1
Yar-Sale,66.83,70.83,-1.7,95,100,8.41
Thinadhoo,0.53,72.93,28.15,70,34,1.61
Thunder Bay,48.41,-89.26,-4,85,90,2.1
Sawtell,-30.38,153.1,25.89,69,40,7.7
Broome,52.47,1.45,5.27,87,70,3.1
Ayan,38.23,44.7,-10.66,82,62,3.73
Esperance,-33.86,121.89,14,71,0,6.2
Plock,52.55,19.71,1.81,71,75,7.7
The Valley,18.22,-63.06,26.07,69,40,4.1
Goderich,43.74,-81.71,-0.43,72,97,1.34
Waipawa,-39.94,176.59,18.89,58,62,3.58
Hailar,49.2,119.7,-17.53,87,59,2.64
Srednekolymsk,67.46,153.71,-16.92,50,87,1.43
San Luis,-33.3,-66.34,31.44,28,46,2.65
Taganak,6.08,118.3,26.78,83,40,2.6
Aksu,52.04,76.93,-5,85,91,3
Kochevo,42.1,24.92,8.25,46,100,11.8
Sedalia,38.7,-93.23,4.99,38,0,2.6
Elbistan,38.2,37.19,-4.16,98,100,1.97
Cervo,-22.19,-46.24,18.53,88,90,0.41
Merke,42.87,73.19,-3.26,68,79,2.29
Gobabis,-22.45,18.97,20.71,69,100,7.2
San Ignacio,-5.15,-79,18.76,93,46,0.69
Yabrud,33.97,36.66,3.75,93,20,7.7
Zhaotong,27.34,103.71,3.23,93,4,2.43
Muisne,0.61,-80.02,27,83,40,4.6
Xuddur,4.12,43.89,22.51,80,46,5.41
Christchurch,-43.53,172.64,19.61,55,100,5.7
Tuatapere,-46.13,167.69,13.89,73,100,10.28
Nome,30.04,-94.42,17.94,42,1,2.6
Pochutla,15.74,-96.47,29.84,62,20,3.1
Cayenne,4.94,-52.33,27,78,20,2.1
Sechura,-5.56,-80.82,22.43,84,93,6.7
Pimentel,-3.7,-45.5,22.84,97,100,0.85
Narsaq,60.91,-46.05,-4,92,100,2.1
Marsa Matruh,31.35,27.25,10,76,20,5.1
Morondava,-20.3,44.28,24.59,85,0,1.18
Lebu,8.96,38.73,11.56,83,15,1.16
Sept-Iles,50.2,-66.38,-5,92,75,5.33
San Policarpo,12.18,125.51,26.07,84,78,8.42
Namatanai,-3.66,152.44,26.85,79,100,0.95
Bull Savanna,17.89,-77.59,21.88,92,12,0.89
Ondjiva,-17.07,15.73,19.83,89,100,5.49
Port Hardy,50.7,-127.42,5,93,90,4.1
Kijang,35.24,129.21,-2,68,0,3.6
Buchanan,5.88,-10.05,20,94,20,0.59
San Cristobal,14.68,-86.92,20.28,82,57,3.06
Los Llanos de Aridane,28.66,-17.92,14.99,63,75,4.1
Marzuq,14.4,46.47,14.42,85,0,2.12
Ahipara,-35.17,173.16,25,67,100,0.45
Vardo,39.62,-77.74,8.41,66,90,6.2
Yuryev-Polskiy,56.5,39.68,-0.43,89,97,5.13
Namibe,-15.19,12.15,23.55,91,99,5.22
Iberia,-11.41,-69.49,22.62,94,46,0.98
Santa Marta,11.24,-74.21,33,49,20,7.2
Bay Roberts,47.58,-53.28,0.31,97,90,3.1
Itoman,26.12,127.67,17.37,72,75,5.7
Itaituba,-4.26,-55.99,23.52,96,65,0.31
Yerbogachen,61.28,108.01,-16.91,92,91,3.04
Laguna,16.17,-88.94,29,70,75,3.1
Porto Novo,-23.68,-45.44,21,88,75,1
Hervey Bay,-25.3,152.85,28.39,57,40,2.6
Pingxiang,27.63,113.85,8.95,96,58,1.95
Cuamba,-14.8,36.54,21.36,93,100,0.83
Baruun-Urt,46.68,113.28,-13.07,71,36,2.02
Semey,50.41,80.25,-11.22,88,0,4.69
Guerrero Negro,27.97,-114.04,20.23,31,0,3.6
Khash,28.22,61.21,10.92,90,99,4.42
Puerto Padre,21.2,-76.61,30,58,20,3.1
Progreso,-34.68,-56.22,23.26,60,0,5.7
Skibbereen,51.55,-9.27,8,100,75,6.7
Vanimo,-2.67,141.3,27.29,81,100,4.78
Nyimba,-14.56,30.81,19.43,98,100,0.71
Porvoo,60.4,25.66,-0.54,68,20,7.7
Pajapan,18.26,-94.69,22,64,90,6.2
Alihe,50.57,123.73,-17.73,91,50,1.75
Tommot,58.97,126.27,-14,97,99,0.76
Sassandra,4.95,-6.09,24.43,61,47,1.3
Outram,1.28,103.84,24.8,88,75,2.6
Atambua,-9.11,124.89,27.62,70,100,1.51
Puerto Colombia,10.99,-74.96,28.17,70,21,5.1
Burayevo,55.84,55.41,-2.46,93,100,7.14
George Town,5.42,100.33,25,78,20,2.1
Dvinskoy,62.16,45.12,-1.76,93,100,2.02
Gornyak,51,81.46,-9.55,79,0,4.85
Pierre,44.37,-100.35,2.14,80,1,4.1
Canmore,51.09,-115.35,-2,92,90,3.6
Najran,17.54,44.22,22,26,0,1.5
Moose Factory,51.26,-80.61,-15,84,90,2.1
Pangnirtung,66.15,-65.72,-21,63,20,9.8
Matay,28.42,30.79,2.08,81,0,1.01
Lac du Bonnet,50.25,-96.06,-3.33,95,100,3.58
Honnali,14.24,75.65,16.8,89,13,0.38
Jieshi,22.82,115.83,18.33,87,98,4.97
Angoche,-16.23,39.91,23.42,95,100,2
Tiznit,29.7,-9.73,10.77,58,0,0.24
Yartsevo,55.07,32.69,-2.3,92,0,3
Saint-Leu,-21.15,55.28,21.85,83,100,2.1
Manicore,-5.81,-61.3,24.17,92,99,0.85
Shagonar,51.54,92.92,-26.27,98,93,0.49
Grootfontein,-19.56,18.1,17.57,93,100,7.53
Tres Picos,16.23,-93.58,17.44,66,81,6.22
Wakkanai,45.41,141.67,-3.51,63,100,7.41
Manono,-7.3,27.4,20.28,96,60,0.93
Rundu,-17.91,19.77,19.63,90,100,1.46
Nongan,44.43,125.17,-16,77,41,2
Hurricane,37.18,-113.29,9.87,52,1,4.6
Caravelas,-17.73,-39.27,25.07,85,100,4.49
Bure,10.52,10.33,16.37,36,20,3.5
Edd,13.93,41.69,24.76,63,0,2.29
Puerto Baquerizo Moreno,-0.9,-89.6,27,69,68,6.7
Tsnori,41.62,45.98,0,85,52,2.1
Karratha,-20.74,116.85,29.37,70,72,10.38
Shetpe,44.14,52.16,-2.12,55,45,5.78
Kindu,-2.95,25.92,20.81,99,100,0.63
Shenzhen,22.54,114.05,18.93,72,40,6.7
Falam,22.91,93.68,10.85,99,80,0.34
Hosbach,50,9.2,4.96,81,75,3.6
Orthez,43.49,-0.77,6.24,100,75,1.5
Yaan,7.38,8.57,23.03,25,16,3.18
Goroka,-6.07,145.39,20.93,84,96,0.51
Fengzhen,40.43,113.15,-10.03,75,93,1.02
Nhulunbuy,-12.18,136.78,31,66,75,4.6
Bose,45.46,8.01,3.8,64,0,1.5
Ajaccio,41.93,8.74,7.18,81,75,2.6
Yinchuan,38.48,106.21,-2.78,87,100,0.26
Kenai,60.55,-151.26,-18.51,76,1,1.5
Ekibastuz,51.72,75.32,-5.5,82,85,7.52
Arman,59.7,150.17,-5.36,68,100,6.43
Atbasar,51.81,68.36,-5.35,95,99,4.74
Aleksandrov Gay,50.14,48.57,-2.91,87,48,5.15
Mount Darwin,-16.77,31.58,18.99,96,89,0.57
Grand-Lahou,5.24,-5,27.88,56,16,3.23
Kalamare,-22.93,26.57,24.36,38,27,4.39
Meadow Lake,54.13,-108.44,-5,85,90,4.1
Hargeysa,9.56,44.06,16.12,87,6,3.3
Westport,41.14,-73.36,7.76,100,90,1.5
Tura,64.27,100.22,-16.07,96,100,2.96
Kasangulu,-4.59,15.17,26,83,75,2.1
Lasa,34.92,32.53,12.1,67,75,5.7
Auki,12.18,6.51,16.98,24,72,7.03
Codrington,-28.95,153.24,27.07,57,0,1
Beitbridge,-22.21,29.99,26.48,42,0,5.78
Saint-Francois,46.42,3.91,-1.4,86,20,1
Amga,60.89,131.98,-23.68,98,100,1.15
Petropavlovsk-Kamchatskiy,53.05,158.65,-7,79,20,3
Ozerki,53.63,83.71,-4,85,75,6
Caconda,-13.73,15.06,15.5,98,100,1.32
La Ligua,-32.45,-71.23,18,88,20,6.7
Sambava,-14.27,50.17,22.45,97,80,0.75
Dayong,25.02,118.29,16,87,20,1
Kieta,-6.22,155.63,29.01,69,34,1.19
Terrace,54.52,-128.61,0.69,98,90,4.6
Juan Lacaze,-34.43,-57.44,26,54,0,4.6
Barra Patuca,15.8,-84.28,27.28,81,2,6.74
Kampong Cham,11.99,105.46,19.99,73,67,3.56
Rena,39.05,-5.81,7.78,82,0,1.34
Galveston,40.58,-86.19,0.28,83,90,6.2
Rabo de Peixe,37.8,-25.58,17,93,20,4.6
Touros,-5.2,-35.46,27,74,20,4.6
Formosa do Rio Preto,-11.04,-45.19,19.71,96,100,1.53
Pryazha,61.69,33.62,-1,100,99,0.97
Zachary,30.65,-91.16,14.33,41,1,3.1
Valparaiso,41.47,-87.06,-0.36,80,90,4.1
Digapahandi,19.37,84.57,16.49,96,11,0.73
Poum,41.28,20.71,-0.3,72,75,1.89
Fort-Shevchenko,44.51,50.26,-2.13,58,32,4.84
Novoagansk,61.94,76.66,-7.09,92,99,6.8
Yumen,40.29,97.04,-9.87,73,100,4.04
Kulhudhuffushi,6.62,73.07,27.43,81,55,5.6
Taoudenni,22.68,-3.98,13.26,25,0,4.28
Nyurba,63.29,118.35,-26.35,98,100,1.54
Gigmoto,13.78,124.39,26.46,77,65,11.83
Bindura,-17.3,31.33,18.3,94,82,0.71
Strezhevoy,60.73,77.6,-4,92,90,5
Waterloo,8.34,-13.07,20.69,72,0,0.35
Antigonish,45.62,-61.99,-0.95,100,1,0.39
Buderim,-26.69,153.06,27.22,66,13,0.89
Zlobin,45.29,14.65,5.8,40,78,5.1
Airai,-8.93,125.41,25.15,65,97,1.7
Goya,-29.14,-59.27,25.91,39,0,3.7
Bubaque,11.28,-15.83,25.72,56,20,3.29
Pahrump,36.21,-115.98,11.88,34,1,5.7
Acapulco,16.86,-99.88,29,70,40,2.1
Mikuni,36.22,136.15,6,48,75,6.2
Drovyanaya,51.58,113.05,-24,76,20,1
Horta,-10.93,-37.66,28,69,95,5.7
Tocache,-8.19,-76.51,20.29,96,87,0.26
Batagay-Alyta,67.8,130.41,-30.25,80,2,1.57
San Quintin,17.54,120.52,22.8,73,43,2.11
Ganzhou,25.86,114.93,12.01,84,73,0.34
Vila Velha,-3.71,-38.6,28.45,74,20,2.6
Urusha,54.05,122.9,-24.72,93,14,0.66
Dingle,11,122.67,24.27,90,10,6.04
Tuy Hoa,13.08,109.3,23.96,75,96,8.36
Fare,-16.7,-151.02,27.68,77,100,4.19
Limanowa,49.71,20.42,1.15,86,75,6.2
Athabasca,54.72,-113.29,-2.52,71,97,6.52
Poya,-21.35,165.16,24.42,75,0,6.51
Moroni,35.09,24.92,8.82,61,20,1.88
Mandalgovi,45.76,106.27,-15.31,92,62,1.41
Novyy Karachay,43.82,41.9,-1.56,37,0,2.47
Iracoubo,5.48,-53.21,26.5,80,76,6.71
Sampit,-2.54,112.95,25.76,91,98,1.16
Mwene-Ditu,-7.01,23.45,18.94,96,100,1.65
Bryant,34.6,-92.49,9.72,32,1,2.1
Constitucion,23.99,-104.67,17,17,5,1.5
Mareeba,-16.99,145.42,28.27,69,40,3.1
Tarboro,35.9,-77.54,15.44,82,1,3.1
Pospelikha,51.99,81.83,-7.23,83,77,6.57
Manoel Urbano,-8.84,-69.26,23.88,97,100,0.92
Palau,42.18,2.97,5.25,93,0,0.5
Limbang,4.75,115.01,26.23,83,75,0.5
Pinhao,-25.7,-51.66,15.86,97,36,2.35
Otaru,43.18,140.99,-8.93,78,75,1.5
Kangaatsiaq,68.31,-53.46,-9.24,83,100,10.5
Cockburn Town,21.46,-71.14,26,78,40,6.2
Mingaora,34.78,72.36,-2.98,62,5,3.69
Timizart,36.8,4.25,12.94,66,3,2.58
Merauke,-8.49,140.4,32.12,55,100,1.94
Padang,-0.92,100.36,20.88,89,85,2.68
Cabo San Lucas,22.89,-109.91,23.34,60,5,4.1
Valdosta,30.83,-83.28,16.19,55,40,2.6
Baykit,61.68,96.39,-10.36,92,100,3.25
Nuuk,64.17,-51.74,-5,79,100,3.1
Quime,-16.98,-67.22,12.08,94,94,1.9
Aldan,58.61,125.39,-12.04,95,100,2.93
Corciano,43.13,12.29,3.17,100,17,2.1
Bagotville,-28.98,153.42,29.22,51,0,3.6
Lagoa,37.14,-8.45,9.82,87,0,2.1
Guarapari,-20.67,-40.5,25.75,83,90,5.1
Arlit,18.74,7.39,13.06,28,0,5.72
Luwuk,-0.95,122.79,26,85,100,1.13
Khorixas,-20.37,14.96,20.69,77,100,2.44
Klaksvik,62.23,-6.59,9,93,100,3.1
Mul,20.07,79.68,15.23,72,0,2.71
Yeniseysk,58.45,92.17,-9.2,93,100,2.65
Moranbah,-22,148.04,28.74,44,91,5.86
Kapit,2.02,112.94,23.05,97,100,0.21
Erzurum,39.91,41.27,-14,92,90,1.5
Adrar,27.87,-0.29,8,33,49,4.6
Qinhuangdao,39.94,119.59,-3.08,61,22,1.44
Surgut,61.25,73.4,-3,100,90,6
Venezuela,21.74,-78.8,26.35,73,70,2.57
Saint-Pierre,48.95,4.24,4.88,93,90,1.5
Tyukalinsk,55.87,72.2,-8.77,93,100,5.33
Alamogordo,32.9,-105.96,10.41,28,1,0.32
Pankovka,58.5,31.2,-0.22,78,90,4.58
Bridgetown,-33.96,116.14,13.89,68,8,0.89
Sao Joao da Barra,-21.64,-41.05,24.82,90,85,3.2
Darnah,32.77,22.64,15.57,73,56,10.81
Magdalena,14.2,121.43,25.7,74,40,2.1
Gravdal,59.79,5.78,2.7,93,38,3.6
Jitra,6.27,100.42,22.83,94,20,1
Huarmey,-10.07,-78.15,21.17,75,96,2.34
Launceston,-41.43,147.14,15.86,40,100,0.5
Killarney,-28.34,152.3,26.67,23,0,0.45
Comodoro Rivadavia,-45.87,-67.48,17,48,9,7.2
Olinala,17.83,-98.85,25.19,37,0,0.2
High Level,58.52,-117.13,-20,83,75,3.6
Timbuktu,16.77,-3.01,15,20,0,4.88
Camopi,3.17,-52.33,22.35,98,90,1.53
San Felipe,-32.75,-70.73,25.56,81,0,1.34
